,Year,Month,Rainfall
0,2004,1,0.145
1,2004,2,0.13
2,2004,3,0.11699999999999999
3,2004,4,3.9859999999999998
4,2004,5,65.20400000000001
5,2004,6,173.45899999999997
6,2004,7,177.586
7,2004,8,197.19400000000002
8,2004,9,221.485
9,2004,10,24.717000000000002
10,2004,11,20.638
11,2004,12,3.3480000000000003
12,2005,1,0.259
13,2005,2,0.126
14,2005,3,0.42899999999999994
15,2005,4,17.193
16,2005,5,13.697999999999999
17,2005,6,164.18
18,2005,7,315.442
19,2005,8,203.888
20,2005,9,341.306
21,2005,10,93.93599999999999
22,2005,11,6.5729999999999995
23,2005,12,3.3609999999999998
24,2006,1,0.145
25,2006,2,0.126
26,2006,3,1.25
27,2006,4,3.3890000000000002
28,2006,5,52.846000000000004
29,2006,6,203.89499999999998
30,2006,7,316.86100000000005
31,2006,8,357.20300000000003
32,2006,9,227.474
33,2006,10,88.786
34,2006,11,40.623000000000005
35,2006,12,3.3500000000000005
36,2007,1,0.14300000000000002
37,2007,2,0.174
38,2007,3,0.28
39,2007,4,6.132000000000001
40,2007,5,8.786
41,2007,6,292.925
42,2007,7,293.416
43,2007,8,268.855
44,2007,9,259.23199999999997
45,2007,10,17.395
46,2007,11,17.544999999999998
47,2007,12,5.157
48,2008,1,0.14300000000000002
49,2008,2,0.126
50,2008,3,1.355
51,2008,4,6.01
52,2008,5,5.862
53,2008,6,109.989
54,2008,7,154.43099999999998
55,2008,8,285.242
56,2008,9,341.72799999999995
57,2008,10,39.259
58,2008,11,11.956
59,2008,12,13.608
60,2009,1,0.14300000000000002
61,2009,2,0.126
62,2009,3,0.587
63,2009,4,3.662
64,2009,5,14.22
65,2009,6,127.42499999999998
66,2009,7,262.004
67,2009,8,162.876
68,2009,9,254.46400000000003
69,2009,10,117.001
70,2009,11,99.67699999999999
71,2009,12,3.5280000000000005
72,2010,1,0.23999999999999996
73,2010,2,0.134
74,2010,3,0.389
75,2010,4,8.989
76,2010,5,10.083
77,2010,6,228.733
78,2010,7,306.612
79,2010,8,355.56399999999996
80,2010,9,232.85500000000002
81,2010,10,145.824
82,2010,11,97.57
83,2010,12,3.267
84,2011,1,0.14300000000000002
85,2011,2,0.126
86,2011,3,0.124
87,2011,4,10.442
88,2011,5,7.034000000000001
89,2011,6,173.16699999999997
90,2011,7,244.094
91,2011,8,217.281
92,2011,9,142.19699999999997
93,2011,10,136.443
94,2011,11,5.003
95,2011,12,3.2340000000000004
96,2012,1,0.14300000000000002
97,2012,2,0.126
98,2012,3,0.124
99,2012,4,8.125
100,2012,5,7.073
101,2012,6,87.031
102,2012,7,164.994
103,2012,8,141.361
104,2012,9,149.613
105,2012,10,138.118
106,2012,11,12.257
107,2012,12,3.2340000000000004
108,2013,1,0.16
109,2013,2,0.178
110,2013,3,0.203
111,2013,4,4.119
112,2013,5,4.191
113,2013,6,291.361
114,2013,7,281.293
115,2013,8,86.415
116,2013,9,222.73
117,2013,10,88.563
118,2013,11,11.423
119,2013,12,4.124
120,2014,1,0.17500000000000002
121,2014,2,0.19899999999999998
122,2014,3,0.471
123,2014,4,7.0
124,2014,5,19.947000000000003
125,2014,6,54.638999999999996
126,2014,7,320.956
127,2014,8,271.69
128,2014,9,105.53999999999999
129,2014,10,57.564
130,2014,11,27.754
131,2014,12,5.988000000000001
132,2015,1,0.22699999999999998
133,2015,2,0.23900000000000002
134,2015,3,2.333
135,2015,4,5.541
136,2015,5,33.201
137,2015,6,140.813
138,2015,7,82.678
139,2015,8,93.658
140,2015,9,298.371
141,2015,10,80.572
142,2015,11,21.972
143,2015,12,3.5169999999999995
144,2016,1,0.16
145,2016,2,0.29100000000000004
146,2016,3,1.88
147,2016,4,3.4000000000000004
148,2016,5,8.197
149,2016,6,127.40799999999999
150,2016,7,370.387
151,2016,8,95.17500000000001
152,2016,9,274.61699999999996
153,2016,10,63.22
154,2016,11,7.766
155,2016,12,3.29
156,2017,1,0.16
157,2017,2,0.182
158,2017,3,0.16
159,2017,4,3.021
160,2017,5,10.953000000000001
161,2017,6,199.569
162,2017,7,140.423
163,2017,8,210.037
164,2017,9,339.225
165,2017,10,139.508
166,2017,11,8.213
167,2017,12,8.883000000000001
168,2018,1,0.16
169,2018,2,0.705
170,2018,3,0.878
171,2018,4,7.031
172,2018,5,11.357
173,2018,6,187.336
174,2018,7,181.67700000000002
175,2018,8,132.137
176,2018,9,74.443
177,2018,10,56.323
178,2018,11,17.199
179,2018,12,3.245
180,2019,1,0.16
181,2019,2,0.199
182,2019,3,0.115
183,2019,4,5.989
184,2019,5,1.384
185,2019,6,162.448
186,2019,7,228.02800000000002
187,2019,8,244.92099999999996
188,2019,9,254.70299999999997
189,2019,10,186.443
190,2019,11,42.409
191,2019,12,4.312
192,2020,1,0.20799999999999996
193,2020,2,0.237
194,2020,3,0.882
195,2020,4,0.0
196,2020,5,0.0
197,2020,6,0.0
198,2020,7,0.0
199,2020,8,0.0
200,2020,9,0.0
201,2020,10,0.0
202,2020,11,0.0
203,2020,12,0.0
